task_id,repo,condition,model,pred_index,actor,name,description,evidence_paths,matched_gold,best_similarity,path_coverage,majority_category,unanimous,has_unique_majority,annotator_11_category,annotator_11_confidence,annotator_11_supported,annotator_11_path_grounded,annotator_11_needs_discussion,annotator_11_notes,annotator_12_category,annotator_12_confidence,annotator_12_supported,annotator_12_path_grounded,annotator_12_needs_discussion,annotator_12_notes,annotator_13_category,annotator_13_confidence,annotator_13_supported,annotator_13_path_grounded,annotator_13_needs_discussion,annotator_13_notes
4jean__lav_sms::file_tree_only::deepseek-v4-pro::2,4jean__lav_sms,file_tree_only,deepseek-v4-pro,2,User,Reset password,A user recovers access by resetting a forgotten password.,app/Http/Controllers/Auth/ForgotPasswordController.php | app/Http/Controllers/Auth/ResetPasswordController.php | resources/views/auth/passwords/email.blade.php | resources/views/auth/passwords/reset.blade.php,Update own account,0.1645,,framework_or_boilerplate_noise,True,True,framework_or_boilerplate_noise,high,False,False,False,Password reset is inferred only from Laravel auth scaffold.,framework_or_boilerplate_noise,high,False,False,False,Password reset is inferred only from Laravel auth scaffold.,framework_or_boilerplate_noise,high,False,False,False,Password reset is inferred only from Laravel auth scaffold.
4jean__lav_sms::file_tree_only::deepseek-v4-pro::3,4jean__lav_sms,file_tree_only,deepseek-v4-pro,3,Admin,View dashboard,An administrative user views the main dashboard with summary information.,app/Http/Controllers/HomeController.php | resources/views/pages/admin/dashboard.blade.php,View children,0.3333,,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,Dedicated admin dashboard controller/view directly support the workflow.,matched_supported_goal,medium,True,True,False,Dedicated admin dashboard controller/view directly support the workflow.,matched_supported_goal,medium,True,True,False,Dedicated admin dashboard controller/view directly support the workflow.
4jean__lav_sms::file_tree_only::deepseek-v4-pro::4,4jean__lav_sms,file_tree_only,deepseek-v4-pro,4,Super Admin,Configure system settings,Super administrator updates global school system settings.,app/Http/Controllers/SuperAdmin/SettingController.php | resources/views/pages/super_admin/settings.blade.php,Update own account,0.0938,,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,Setting controller and settings view directly support system configuration.,matched_supported_goal,medium,True,True,False,Setting controller and settings view directly support system configuration.,matched_supported_goal,medium,True,True,False,Setting controller and settings view directly support system configuration.
4jean__lav_sms::file_tree_only::deepseek-v4-pro::5,4jean__lav_sms,file_tree_only,deepseek-v4-pro,5,Support Team,Manage student records,"Support team creates, updates, and maintains student enrollment and profile data.",app/Http/Controllers/SupportTeam/StudentRecordController.php | resources/views/pages/support_team/students,Manage student records,1.0,0.2,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Controller and student pages directly support managing student records.,matched_supported_goal,high,True,True,False,Controller and student pages directly support managing student records.,matched_supported_goal,high,True,True,False,Controller and student pages directly support managing student records.
4jean__lav_sms::file_tree_only::deepseek-v4-pro::6,4jean__lav_sms,file_tree_only,deepseek-v4-pro,6,Support Team,Record exam marks,Support team enters and edits student marks for exams.,app/Http/Controllers/SupportTeam/MarkController.php | resources/views/pages/support_team/marks,Manage marks,0.4333,0.25,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Mark controller and mark pages directly support recording marks.,matched_supported_goal,high,True,True,False,Mark controller and mark pages directly support recording marks.,matched_supported_goal,high,True,True,False,Mark controller and mark pages directly support recording marks.
4jean__lav_sms::file_tree_only::deepseek-v4-pro::7,4jean__lav_sms,file_tree_only,deepseek-v4-pro,7,Parent,View child academic info,A parent monitors a child's school information and performance.,app/Http/Controllers/MyParent/MyController.php | resources/views/pages/parent/children.blade.php,View children,0.42,0.25,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Parent controller and children view directly support child academic info access.,matched_supported_goal,high,True,True,False,Parent controller and children view directly support child academic info access.,matched_supported_goal,high,True,True,False,Parent controller and children view directly support child academic info access.
4jean__lav_sms::readme_plus_code::deepseek-v4-pro::0,4jean__lav_sms,readme_plus_code,deepseek-v4-pro,0,Super Admin,Update System Settings,"Super Admin updates school name, current session, phone number, and other system configurations.",resources/views/pages/super_admin/settings.blade.php | app/Http/Controllers/SuperAdmin/SettingController.php | resources/views/pages/super_admin/menu.blade.php,Update own account,0.2,,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Controller and settings page directly support updating system settings.,matched_supported_goal,medium,True,True,False,Controller and settings page directly support updating system settings.,matched_supported_goal,medium,True,True,False,Controller and settings page directly support updating system settings.
4jean__lav_sms::readme_plus_code::deepseek-v4-pro::1,4jean__lav_sms,readme_plus_code,deepseek-v4-pro,1,Super Admin,Manage Pins,Super Admin generates new pins and views existing valid or invalid pins.,resources/views/pages/super_admin/menu.blade.php,Manage timetable,0.3333,0.0,matched_goal_missing_or_wrong_path,True,True,matched_goal_missing_or_wrong_path,medium,True,False,False,"Pin management is plausible, but menu-only evidence is weak for grounding the exact workflow.",matched_goal_missing_or_wrong_path,medium,True,False,False,"Pin management is plausible, but menu-only evidence is weak for grounding the exact workflow.",matched_goal_missing_or_wrong_path,medium,True,False,False,"Annotator 13: menu/settings evidence supports the feature at a high level, but not the full user flow path."
4jean__lav_sms::readme_plus_code::deepseek-v4-pro::2,4jean__lav_sms,readme_plus_code,deepseek-v4-pro,2,Admin,Create User Account,"Admin fills out a form to create a new user account for any role (teacher, student, parent, accountant, librarian).",resources/views/pages/support_team/users/index.blade.php | app/Http/Controllers/SupportTeam/UserController.php,Update own account,0.2,,matched_supported_goal,False,True,matched_goal_actor_label_drift,medium,True,True,False,"Evidence supports user-account creation, but the concrete role appears to be Support Team rather than generic Admin.",matched_supported_goal,medium,True,True,False,"Evidence supports user-account creation, but the concrete role appears to be Support Team rather than generic Admin.",matched_supported_goal,medium,True,True,False,"Evidence supports user-account creation, but the concrete role appears to be Support Team rather than generic Admin."
4jean__lav_sms::readme_plus_code::deepseek-v4-pro::3,4jean__lav_sms,readme_plus_code,deepseek-v4-pro,3,Admin,Edit User Profile,"Admin edits an existing user's personal details such as name, address, email, and phone.",resources/views/pages/support_team/users/edit.blade.php | app/Http/Controllers/SupportTeam/UserController.php,Update own account,0.1429,,matched_supported_goal,False,True,matched_goal_actor_label_drift,medium,True,True,False,"Evidence supports editing user profiles, but actor label drifts from Support Team.",matched_supported_goal,medium,True,True,False,"Evidence supports editing user profiles, but actor label drifts from Support Team.",matched_supported_goal,medium,True,True,False,"Evidence supports editing user profiles, but actor label drifts from Support Team."
4jean__lav_sms::readme_plus_code::deepseek-v4-pro::4,4jean__lav_sms,readme_plus_code,deepseek-v4-pro,4,Admin,Manage Classes,Admin creates new classes and edits existing class names.,resources/views/pages/support_team/classes/index.blade.php | app/Http/Controllers/SupportTeam/MyClassController.php,Manage payments,0.3333,0.0,matched_supported_goal,False,True,matched_goal_actor_label_drift,medium,True,True,False,"Evidence supports class management, but actor label drifts from Support Team.",matched_supported_goal,medium,True,True,False,"Evidence supports class management, but actor label drifts from Support Team.",matched_supported_goal,medium,True,True,False,"Evidence supports class management, but actor label drifts from Support Team."
4jean__lav_sms::readme_plus_code::deepseek-v4-pro::5,4jean__lav_sms,readme_plus_code,deepseek-v4-pro,5,Student,View Marksheet,Student views his/her own marksheet and can print it.,resources/views/pages/student/menu.blade.php | README screenshots,View and print marksheet,0.5,0.0,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,Student menu plus README screenshot support marksheet viewing/printing.,matched_supported_goal,medium,True,True,False,Student menu plus README screenshot support marksheet viewing/printing.,matched_supported_goal,medium,True,True,False,Student menu plus README screenshot support marksheet viewing/printing.
4jean__lav_sms::readme_plus_code::deepseek-v4-pro::6,4jean__lav_sms,readme_plus_code,deepseek-v4-pro,6,Parent,View Child's Marksheet,Parent views and downloads/prints the marksheet of their child.,README FUNCTIONS OF ACCOUNTS - PARENT,View children,0.4,0.0,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,README parent functions explicitly support viewing/printing child marksheet.,matched_supported_goal,medium,True,True,False,README parent functions explicitly support viewing/printing child marksheet.,matched_supported_goal,medium,True,True,False,README parent functions explicitly support viewing/printing child marksheet.
4jean__lav_sms::readme_plus_code::deepseek-v4-pro::7,4jean__lav_sms,readme_plus_code,deepseek-v4-pro,7,Super Admin,Delete Class,Super Admin permanently removes a class from the system.,app/Http/Controllers/SupportTeam/MyClassController.php | README (Super Admin ability),Manage academic structure,0.1111,,matched_supported_goal,False,True,matched_goal_actor_label_drift,medium,True,False,False,"Class deletion is plausible from controller context, but Super Admin vs Support Team role labeling is not well grounded.",matched_supported_goal,medium,True,True,False,"Class deletion is plausible from controller context, but Super Admin vs Support Team role labeling is not well grounded.",matched_supported_goal,medium,True,True,False,"Class deletion is plausible from controller context, but Super Admin vs Support Team role labeling is not well grounded."
4jean__lav_sms::random_code_same_budget::deepseek-v4-pro::0,4jean__lav_sms,random_code_same_budget,deepseek-v4-pro,0,Support Team Member,Edit Subject,"Modify an existing subject's name, short name, class, and assigned teacher.",resources/views/pages/support_team/subjects/edit.blade.php | routes/web.php (subjects.update),Manage marks,0.0769,,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,Subject edit view and update route directly support subject editing.,matched_supported_goal,medium,True,True,False,Subject edit view and update route directly support subject editing.,matched_supported_goal,medium,True,True,False,Subject edit view and update route directly support subject editing.
4jean__lav_sms::random_code_same_budget::deepseek-v4-pro::1,4jean__lav_sms,random_code_same_budget,deepseek-v4-pro,1,Support Team Member,Manage Student Marks,"Select class, exam, and subject to update students' exam marks.",resources/views/pages/support_team/marks/manage.blade.php,Manage student records,0.6667,0.0,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,Manage marks view directly supports the described mark-management workflow.,matched_supported_goal,medium,True,True,False,Manage marks view directly supports the described mark-management workflow.,matched_supported_goal,medium,True,True,False,Manage marks view directly supports the described mark-management workflow.
4jean__lav_sms::random_code_same_budget::deepseek-v4-pro::2,4jean__lav_sms,random_code_same_budget,deepseek-v4-pro,2,Support Team Member,Manage Timetable,"Add or edit time slots and subjects to a timetable record, and print it.",resources/views/pages/support_team/timetables/manage.blade.php | resources/views/pages/support_team/timetables/subjects/edit.blade.php | resources/views/pages/support_team/timetables/print.blade.php | routes/web.php (...,Manage timetable,1.0,0.125,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Timetable manage/edit/print views and routes directly support the workflow.,matched_supported_goal,high,True,True,False,Timetable manage/edit/print views and routes directly support the workflow.,matched_supported_goal,high,True,True,False,Timetable manage/edit/print views and routes directly support the workflow.
4jean__lav_sms::random_code_same_budget::deepseek-v4-pro::3,4jean__lav_sms,random_code_same_budget,deepseek-v4-pro,3,Support Team Member,Generate Student Invoice,View cleared and uncleared payments for a student and print an invoice.,app/Http/Controllers/SupportTeam/PaymentController.php (invoice method) | resources/views/pages/support_team/payments/invoice.blade.php (referenced),View and print marksheet,0.2069,,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,Invoice method and invoice view directly support viewing/printing student invoices.,matched_supported_goal,medium,True,True,False,Invoice method and invoice view directly support viewing/printing student invoices.,matched_supported_goal,medium,True,True,False,Invoice method and invoice view directly support viewing/printing student invoices.
4jean__lav_sms::random_code_same_budget::deepseek-v4-pro::4,4jean__lav_sms,random_code_same_budget,deepseek-v4-pro,4,Support Team Member,Promote Students,Move students from one class to the next academic session.,routes/web.php (promotion routes),Promote students,1.0,0.1667,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Promotion routes directly support student promotion workflow.,matched_supported_goal,high,True,True,False,Promotion routes directly support student promotion workflow.,matched_supported_goal,high,True,True,False,Promotion routes directly support student promotion workflow.
4jean__lav_sms::random_code_same_budget::deepseek-v4-pro::5,4jean__lav_sms,random_code_same_budget,deepseek-v4-pro,5,Authenticated User,Update My Profile,"Change personal details like name, photo, address, and password.",routes/web.php (my_account routes),Update own account,0.25,,matched_goal_missing_or_wrong_path,True,True,matched_goal_missing_or_wrong_path,medium,True,False,False,"My-account routes make the goal plausible, but do not ground all listed profile fields/actions.",matched_goal_missing_or_wrong_path,medium,True,False,False,"My-account routes make the goal plausible, but do not ground all listed profile fields/actions.",matched_goal_missing_or_wrong_path,medium,True,False,False,"My-account routes make the goal plausible, but do not ground all listed profile fields/actions."
4jean__lav_sms::random_code_same_budget::deepseek-v4-pro::6,4jean__lav_sms,random_code_same_budget,deepseek-v4-pro,6,Unauthenticated User,Register Account,"Create a new user account with name, email, and password.",resources/views/auth/register.blade.php | routes/web.php (Auth::routes),Update own account,0.25,,framework_or_boilerplate_noise,True,True,framework_or_boilerplate_noise,high,False,False,False,Register-account claim is based on scaffold auth route/view.,framework_or_boilerplate_noise,high,False,False,False,Register-account claim is based on scaffold auth route/view.,framework_or_boilerplate_noise,high,False,False,False,Register-account claim is based on scaffold auth route/view.
4jean__lav_sms::random_code_same_budget::deepseek-v4-pro::7,4jean__lav_sms,random_code_same_budget,deepseek-v4-pro,7,Support Team Member,Reset User Password,Reset the password for any system user.,routes/web.php (users.reset_pass),Manage student records,0.1379,,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,The reset-pass route directly supports an admin/support password reset workflow.,matched_supported_goal,medium,True,True,False,The reset-pass route directly supports an admin/support password reset workflow.,matched_supported_goal,medium,True,True,False,The reset-pass route directly supports an admin/support password reset workflow.
4jean__lav_sms::full_selected_context::deepseek-v4-pro::0,4jean__lav_sms,full_selected_context,deepseek-v4-pro,0,Unauthenticated User,User Logs In,A user enters their credentials to access the system's role-based dashboard.,resources/views/auth/login.blade.php | app/Http/Controllers/Auth/LoginController.php,Generate and verify pins,0.1395,,framework_or_boilerplate_noise,True,True,framework_or_boilerplate_noise,high,False,False,False,"Login is supported only by auth scaffold files, not project-specific workflow evidence.",framework_or_boilerplate_noise,high,False,False,False,"Login is supported only by auth scaffold files, not project-specific workflow evidence.",framework_or_boilerplate_noise,high,False,False,False,"Login is supported only by auth scaffold files, not project-specific workflow evidence."
4jean__lav_sms::full_selected_context::deepseek-v4-pro::1,4jean__lav_sms,full_selected_context,deepseek-v4-pro,1,Administrator,Create Class,"An administrator creates a new class, which automatically adds a default section.",app/Http/Controllers/SupportTeam/MyClassController.php | resources/views/pages/support_team/classes/index.blade.php | resources/views/pages/support_team/classes/edit.blade.php,Manage timetable,0.1304,,matched_supported_goal,False,True,matched_goal_actor_label_drift,medium,True,True,False,"Class creation is supported, but the concrete role appears to be Support Team rather than Administrator.",matched_supported_goal,medium,True,True,False,"Class creation is supported, but the concrete role appears to be Support Team rather than Administrator.",matched_supported_goal,medium,True,True,False,"Class creation is supported, but the concrete role appears to be Support Team rather than Administrator."
4jean__lav_sms::full_selected_context::deepseek-v4-pro::2,4jean__lav_sms,full_selected_context,deepseek-v4-pro,2,Administrator,Admit Student,An administrator registers a new student into the school system with personal and class details.,app/Http/Controllers/SupportTeam/StudentRecordController.php | resources/views/pages/support_team/students/add.blade.php | resources/views/pages/support_team/students/edit.blade.php,Manage student records,0.25,,matched_supported_goal,False,True,matched_goal_actor_label_drift,medium,True,True,False,"Student admission is supported, but actor label drifts from Support Team.",matched_supported_goal,medium,True,True,False,"Student admission is supported, but actor label drifts from Support Team.",matched_supported_goal,medium,True,True,False,"Student admission is supported, but actor label drifts from Support Team."
4jean__lav_sms::full_selected_context::deepseek-v4-pro::3,4jean__lav_sms,full_selected_context,deepseek-v4-pro,3,Administrator,Create Exam,"An administrator defines a new exam by specifying its name, term, and academic year.",app/Http/Controllers/SupportTeam/ExamController.php | resources/views/pages/support_team/exams/edit.blade.php | resources/views/pages/support_team/exams/index.blade.php,Generate tabulation sheet,0.1081,,matched_supported_goal,False,True,matched_goal_actor_label_drift,medium,True,True,False,"Exam creation is supported, but actor label drifts from Support Team.",matched_supported_goal,medium,True,True,False,"Exam creation is supported, but actor label drifts from Support Team.",matched_supported_goal,medium,True,True,False,"Exam creation is supported, but actor label drifts from Support Team."
4jean__lav_sms::full_selected_context::deepseek-v4-pro::4,4jean__lav_sms,full_selected_context,deepseek-v4-pro,4,Administrator,Create User Account,An administrator adds a new user account by selecting a role and providing personal details.,app/Http/Controllers/SupportTeam/UserController.php | resources/views/pages/support_team/users/index.blade.php | resources/views/pages/support_team/users/edit.blade.php,Update own account,0.2,,matched_supported_goal,False,True,matched_goal_actor_label_drift,medium,True,True,False,"User-account creation is supported, but actor label drifts from Support Team.",matched_supported_goal,medium,True,True,False,"User-account creation is supported, but actor label drifts from Support Team.",matched_supported_goal,medium,True,True,False,"User-account creation is supported, but actor label drifts from Support Team."
4jean__lav_sms::full_selected_context::deepseek-v4-pro::5,4jean__lav_sms,full_selected_context,deepseek-v4-pro,5,Student,View Marksheet,A student views their own marksheet for a selected academic year.,resources/views/pages/student/menu.blade.php | readme.md (student functions: 'View own marks'),View and print marksheet,0.5,0.0,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,Student marksheet viewing is supported by menu/readme evidence.,matched_supported_goal,medium,True,True,False,Student marksheet viewing is supported by menu/readme evidence.,matched_supported_goal,medium,True,True,False,Student marksheet viewing is supported by menu/readme evidence.
4jean__lav_sms::full_selected_context::deepseek-v4-pro::6,4jean__lav_sms,full_selected_context,deepseek-v4-pro,6,Parent,Print Child's Marksheet,A parent views and prints the marksheet of their child as a PDF.,readme.md (parent functions: 'View own child's marksheet (Download/Print PDF)') | resources/views/pages/parent/children.blade.php (implied by file existence),View children,0.4,0.0,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,Parent marksheet print/view workflow is supported by readme and parent view evidence.,matched_supported_goal,medium,True,True,False,Parent marksheet print/view workflow is supported by readme and parent view evidence.,matched_supported_goal,medium,True,True,False,Parent marksheet print/view workflow is supported by readme and parent view evidence.
4jean__lav_sms::full_selected_context::deepseek-v4-pro::7,4jean__lav_sms,full_selected_context,deepseek-v4-pro,7,Super Admin,Update System Settings,"The super administrator modifies global school settings such as name, session, and logo.",resources/views/pages/super_admin/settings.blade.php | app/Http/Controllers/SuperAdmin/SettingController.php | resources/views/pages/super_admin/menu.blade.php,Update own account,0.2,,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Setting controller and settings page directly support updating global settings.,matched_supported_goal,medium,True,True,False,Setting controller and settings page directly support updating global settings.,matched_supported_goal,medium,True,True,False,Setting controller and settings page directly support updating global settings.
4jean__lav_sms::oracle_upper_bound::deepseek-v4-pro::0,4jean__lav_sms,oracle_upper_bound,deepseek-v4-pro,0,Super Admin,Manage school settings,"Super Admin updates system settings such as school name, session, lock exam, and logo.",app/Http/Controllers/SuperAdmin/SettingController.php | app/Http/Requests/SettingUpdate.php | resources/views/pages/super_admin/settings.blade.php,Manage timetable,0.25,,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Oracle-style evidence directly supports school settings management.,matched_supported_goal,medium,True,True,False,Oracle-style evidence directly supports school settings management.,matched_supported_goal,medium,True,True,False,Oracle-style evidence directly supports school settings management.
4jean__lav_sms::oracle_upper_bound::deepseek-v4-pro::1,4jean__lav_sms,oracle_upper_bound,deepseek-v4-pro,1,Admin,Manage classes and sections,"Admin creates, edits, and deletes classes and sections, and assigns teachers to sections.",app/Http/Controllers/SupportTeam/MyClassController.php | app/Http/Controllers/SupportTeam/SectionController.php | resources/views/pages/support_team/classes/index.blade.php | resources/views/pages/support_team/section...,Manage timetable,0.2,,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Controllers and views directly support managing classes and sections.,matched_supported_goal,medium,True,True,False,Controllers and views directly support managing classes and sections.,matched_supported_goal,medium,True,True,False,Controllers and views directly support managing classes and sections.
4jean__lav_sms::oracle_upper_bound::deepseek-v4-pro::2,4jean__lav_sms,oracle_upper_bound,deepseek-v4-pro,2,Admin,Manage exams and grades,Admin defines exam terms and corresponding grading scales.,app/Http/Controllers/SupportTeam/ExamController.php | app/Http/Controllers/SupportTeam/GradeController.php | resources/views/pages/support_team/exams/index.blade.php | resources/views/pages/support_team/grades/index.b...,Manage timetable,0.2,,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Exam and grade controllers/views directly support managing exams and grades.,matched_supported_goal,medium,True,True,False,Exam and grade controllers/views directly support managing exams and grades.,matched_supported_goal,medium,True,True,False,Exam and grade controllers/views directly support managing exams and grades.
4jean__lav_sms::oracle_upper_bound::deepseek-v4-pro::3,4jean__lav_sms,oracle_upper_bound,deepseek-v4-pro,3,Teacher,Enter student marks,Teacher records exam marks for students in their assigned subjects.,app/Http/Controllers/SupportTeam/MarkController.php | resources/views/pages/support_team/marks/bulk.blade.php | resources/views/pages/support_team/marks/edit.blade.php | app/Helpers/Mk.php,Manage marks,0.2927,0.125,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Mark controller and edit/bulk views directly support entering marks.,matched_supported_goal,medium,True,True,False,Mark controller and edit/bulk views directly support entering marks.,matched_supported_goal,medium,True,True,False,Mark controller and edit/bulk views directly support entering marks.
4jean__lav_sms::oracle_upper_bound::deepseek-v4-pro::4,4jean__lav_sms,oracle_upper_bound,deepseek-v4-pro,4,Student,View marksheet,"Student views their own exam marksheet, optionally after entering a PIN if exam is locked.",app/Http/Controllers/SupportTeam/MarkController.php | resources/views/pages/support_team/marks/show | app/Http/Controllers/SupportTeam/PinController.php,View and print marksheet,0.5,0.2857,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Marksheet and pin controllers directly support viewing marksheets.,matched_supported_goal,medium,True,True,False,Marksheet and pin controllers directly support viewing marksheets.,matched_supported_goal,medium,True,True,False,Marksheet and pin controllers directly support viewing marksheets.
4jean__lav_sms::oracle_upper_bound::deepseek-v4-pro::5,4jean__lav_sms,oracle_upper_bound,deepseek-v4-pro,5,Parent,View child's marksheet,"Parent selects a child and views their exam marksheet, with option to download/print PDF.",app/Http/Controllers/MyParent/MyController.php | app/Http/Controllers/SupportTeam/MarkController.php | resources/views/pages/parent/children.blade.php,View children,0.4,0.25,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Parent and mark controllers directly support child marksheet viewing.,matched_supported_goal,medium,True,True,False,Parent and mark controllers directly support child marksheet viewing.,matched_supported_goal,medium,True,True,False,Parent and mark controllers directly support child marksheet viewing.
