repo,condition,model,pred_index,category,actor,name,description,evidence_paths,matched_gold,best_similarity,path_coverage
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,file_tree_only,deepseek-v4-pro,3,actor_scope_error,User,Submit Review,Record a review (likely for a course or a student) by providing review content.,src/main/java/studentdbms/controller/ReviewController.java | src/main/java/studentdbms/entity/Review.java | src/main/java/studentdbms/service/ReviewService.java,Add course review,0.25,
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,file_tree_only,deepseek-v4-pro,4,actor_scope_error,User,Add Passport,Add passport information for a student.,src/main/java/studentdbms/controller/PassportController.java | src/main/java/studentdbms/entity/Passport.java | src/main/java/studentdbms/service/PassportService.java,Add course to student,0.25,
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,readme_plus_code,deepseek-v4-pro,0,actor_scope_error,Student,View all courses,A student can browse a list of all courses.,/courses (GET),Manage courses,0.25,
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,readme_plus_code,deepseek-v4-pro,1,actor_scope_error,Student,View course details,A student can view a specific course and its reviews.,/courses/{id} (GET),Remove course from student,0.2083,
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,readme_plus_code,deepseek-v4-pro,2,matched_goal_missing_or_wrong_path,Student,Add a new course,A student can create a new course.,/courses/add (GET) | /courses/save (POST),Add course to student,0.5,0.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,readme_plus_code,deepseek-v4-pro,3,actor_scope_error,Student,Enroll in a course,A student can add a course to their own enrollment.,/students/{id}/addCourses (GET) | /students/{sid}/addCourse?cid=... (GET),Add course to student,0.25,
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,readme_plus_code,deepseek-v4-pro,4,actor_scope_error,Student,View my enrolled courses,A student can see the list of courses they are enrolled in.,/students/{id}/courses (GET),Manage courses,0.25,
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,readme_plus_code,deepseek-v4-pro,5,matched_goal_missing_or_wrong_path,Student,Add a course review,A student can write a rating and description for a course.,/reviews/add?id=... (GET) | /reviews/save (POST),Add course review,1.0,0.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,readme_plus_code,deepseek-v4-pro,6,matched_goal_missing_or_wrong_path,Student,Remove a course review,A student can delete a review from a course.,/reviews/remove?id=...&cid=... (GET),Remove course from student,1.0,0.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,readme_plus_code,deepseek-v4-pro,7,matched_goal_missing_or_wrong_path,Student,Add passport details,A student can save their passport number.,/passports/add?id=... (GET) | /passports/save (POST),Manage student passport details,0.4,0.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,random_code_same_budget,deepseek-v4-pro,0,actor_scope_error,User,List students,User views all students in the database.,src/main/java/studentdbms/controller/StudentController.java (GET /students),Manage courses,0.2,
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,random_code_same_budget,deepseek-v4-pro,1,matched_goal_actor_label_drift,User,Add student,User creates a new student record with a name.,"src/main/java/studentdbms/controller/StudentController.java (GET /students/add, POST /students/save) | src/main/java/studentdbms/service/StudentService.java",Manage student records,0.6667,0.625
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,random_code_same_budget,deepseek-v4-pro,2,actor_scope_error,User,Enroll student in course,User adds a course to a student's enrollment list.,"src/main/java/studentdbms/controller/StudentController.java (GET /students/{id}/addCourses, GET /students/{sid}/addCourse) | src/main/java/studentdbms/service/StudentService.java | src/main/java/studentdbms/service/Co...",Add course to student,0.5,
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,random_code_same_budget,deepseek-v4-pro,3,matched_goal_actor_label_drift,User,List courses,User views all courses offered.,src/main/java/studentdbms/controller/CourseController.java (GET /courses),Manage courses,0.3333,0.25
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,random_code_same_budget,deepseek-v4-pro,4,matched_goal_missing_or_wrong_path,User,Add course,User creates a new course with a unique name.,"src/main/java/studentdbms/controller/CourseController.java (GET /courses/add, POST /courses/save) | src/main/java/studentdbms/service/CourseService.java",Add course to student,0.6667,0.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,random_code_same_budget,deepseek-v4-pro,5,actor_scope_error,User,View course details,User sees a course's information and its associated reviews.,src/main/java/studentdbms/controller/CourseController.java (GET /courses/{id}) | src/main/java/studentdbms/entity/Course.java,Manage courses,0.2,
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,random_code_same_budget,deepseek-v4-pro,6,matched_goal_actor_label_drift,User,Add review to course,User writes a rating and description for a course.,"src/main/java/studentdbms/controller/ReviewController.java (GET /reviews/add, POST /reviews/save) | src/main/java/studentdbms/service/ReviewService.java",Add course review,1.0,0.5
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,random_code_same_budget,deepseek-v4-pro,7,matched_goal_missing_or_wrong_path,User,Remove review from course,User deletes a review from a course.,src/main/java/studentdbms/controller/ReviewController.java (GET /reviews/remove) | src/main/java/studentdbms/service/ReviewService.java,Remove course from student,0.75,0.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,full_selected_context,deepseek-v4-pro,0,actor_scope_error,Student,View course catalog,A student views the list of all available courses.,src/main/java/studentdbms/controller/CourseController.java GET /courses,Add course to student,0.3,
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,full_selected_context,deepseek-v4-pro,1,actor_scope_error,Student,View course details,A student views details of a specific course and its reviews.,src/main/java/studentdbms/controller/CourseController.java GET /courses/{id},Manage courses,0.2143,
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,full_selected_context,deepseek-v4-pro,2,matched_goal_missing_or_wrong_path,Student,Add new course,A student adds a new course to the system.,"src/main/java/studentdbms/controller/CourseController.java GET /courses/add, POST /courses/save",Add course to student,0.5,0.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,full_selected_context,deepseek-v4-pro,3,matched_goal_actor_label_drift,Student,Add review to course,A student adds a rating and description review for a course.,"src/main/java/studentdbms/controller/ReviewController.java GET /reviews/add, POST /reviews/save",Add course review,1.0,0.3333
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,full_selected_context,deepseek-v4-pro,4,matched_goal_missing_or_wrong_path,Student,Remove review from course,A student removes a previously submitted review from a course.,src/main/java/studentdbms/controller/ReviewController.java GET /reviews/remove,Remove course from student,0.75,0.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,full_selected_context,deepseek-v4-pro,5,actor_scope_error,Student,Add new student,A student registers themselves by adding a new student entry.,"src/main/java/studentdbms/controller/StudentController.java GET /students/add, POST /students/save",Add course to student,0.5,
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,full_selected_context,deepseek-v4-pro,6,actor_scope_error,Student,Enroll student in course,A student adds a course to their enrollment list.,"src/main/java/studentdbms/controller/StudentController.java GET /{id}/courses, GET /{id}/addCourses, GET /{sid}/addCourse",Add course to student,0.5,
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,full_selected_context,deepseek-v4-pro,7,matched_goal_actor_label_drift,Student,Add passport details,A student adds their passport number to their profile.,"src/main/java/studentdbms/controller/PassportController.java GET /passports/add, POST /passports/save",Manage student passport details,0.4,0.3333
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,oracle_upper_bound,deepseek-v4-pro,0,actor_scope_error,Student,View Student List,Student views a listing of all students in the system.,src/main/java/studentdbms/controller/StudentController.java: findAll() | GET /students,Manage student records,0.2,
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,oracle_upper_bound,deepseek-v4-pro,1,matched_goal_actor_label_drift,Student,Add New Student,Student can add a new student record to the database.,"src/main/java/studentdbms/controller/StudentController.java: add(), save() | GET /students/add, POST /students/save",Add course to student,0.5,0.1429
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,oracle_upper_bound,deepseek-v4-pro,2,actor_scope_error,Student,View Student Courses,Student can view all courses that a specific student is enrolled in.,src/main/java/studentdbms/controller/StudentController.java: viewCourses() | GET /students/{id}/courses,Manage courses,0.25,
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,oracle_upper_bound,deepseek-v4-pro,3,actor_scope_error,Student,Enroll in Course,Student can enroll a student into an available course they are not yet taking.,"src/main/java/studentdbms/controller/StudentController.java: addCourses(), addCourse() | GET /students/{id}/addCourses, GET /students/{sid}/addCourse",Add course to student,0.25,
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,oracle_upper_bound,deepseek-v4-pro,4,matched_goal_actor_label_drift,Student,Add Passport Details,Student can add passport information for a given student.,"src/main/java/studentdbms/controller/PassportController.java: add(), save() | GET /passports/add, POST /passports/save",Manage student passport details,0.4,0.3333
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,oracle_upper_bound,deepseek-v4-pro,5,actor_scope_error,Student,View Course Details,"Student can see details of a specific course, including its reviews.",src/main/java/studentdbms/controller/CourseController.java: findById() | GET /courses/{id},Manage courses,0.2143,
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,oracle_upper_bound,deepseek-v4-pro,6,matched_goal_actor_label_drift,Student,Add Course Review,Student can add a rating and description as a review for a course.,"src/main/java/studentdbms/controller/ReviewController.java: add(), save() | GET /reviews/add, POST /reviews/save",Add course review,1.0,0.3333
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,oracle_upper_bound,deepseek-v4-pro,7,matched_goal_missing_or_wrong_path,Student,Remove Course Review,Student can remove a review from a course.,src/main/java/studentdbms/controller/ReviewController.java: remove() | GET /reviews/remove,Remove course from student,1.0,0.0
Asitha123__Java-Spring-boot-Student-Management-System,file_tree_only,deepseek-v4-pro,0,matched_supported_goal,Administrator,Manage Students,Perform CRUD operations on student records as implied by the project name Student Management System.,README.md | student-management-system/pom.xml | student-management-system/src/main/resources/application.yml,List students,0.3333,0.1667
Asitha123__Java-Spring-boot-Student-Management-System,readme_plus_code,deepseek-v4-pro,0,matched_goal_actor_label_drift,User,View Student List,Display all registered students on a web page.,student-management-system/src/main/java/com/studentmgr/controller/TemplateController.java: listPage() mapping /,List students,0.4583,0.1667
Asitha123__Java-Spring-boot-Student-Management-System,readme_plus_code,deepseek-v4-pro,1,actor_scope_error,User,View Add Student Form,Open a blank form to enter a new student's information.,student-management-system/src/main/java/com/studentmgr/controller/TemplateController.java: savePage() GET /save (no id),Open student create or edit form,0.2857,
Asitha123__Java-Spring-boot-Student-Management-System,readme_plus_code,deepseek-v4-pro,2,matched_goal_actor_label_drift,User,View Edit Student Form,Open a form pre-filled with an existing student's details for modification.,student-management-system/src/main/java/com/studentmgr/controller/TemplateController.java: savePage() GET /save?q=id,Open student create or edit form,0.5,0.25
Asitha123__Java-Spring-boot-Student-Management-System,readme_plus_code,deepseek-v4-pro,3,actor_scope_error,User,Submit Student Form,Save a new or updated student record to the database and return to the list.,student-management-system/src/main/java/com/studentmgr/controller/TemplateController.java: saveBooking() POST /save,Open student create or edit form,0.3333,
Asitha123__Java-Spring-boot-Student-Management-System,readme_plus_code,deepseek-v4-pro,4,matched_goal_actor_label_drift,User,Delete Student,Remove a student record from the system and return to the list.,student-management-system/src/main/java/com/studentmgr/controller/TemplateController.java: deleteBooking() /delete,Save student,1.0,0.25
Asitha123__Java-Spring-boot-Student-Management-System,random_code_same_budget,deepseek-v4-pro,0,matched_supported_goal,Administrator,Add Student,Administrator adds a new student record with personal details.,student-management-system/src/main/java/com/studentmgr/model/Student.java | student-management-system/src/main/java/com/studentmgr/service/StudentService.java | student-management-system/src/main/java/com/studentmgr/c...,Save student,0.3333,0.5
Asitha123__Java-Spring-boot-Student-Management-System,random_code_same_budget,deepseek-v4-pro,1,matched_supported_goal,Administrator,View Students,Administrator retrieves a list of all students.,student-management-system/src/main/java/com/studentmgr/service/StudentService.java | student-management-system/src/main/java/com/studentmgr/common/service/GenericService.java,List students,0.3636,0.1667
Asitha123__Java-Spring-boot-Student-Management-System,random_code_same_budget,deepseek-v4-pro,2,matched_supported_goal,Administrator,Edit Student,Administrator modifies an existing student's information.,student-management-system/src/main/java/com/studentmgr/model/Student.java | student-management-system/src/main/java/com/studentmgr/service/StudentService.java | student-management-system/src/main/java/com/studentmgr/c...,Open student create or edit form,0.4,0.5
Asitha123__Java-Spring-boot-Student-Management-System,random_code_same_budget,deepseek-v4-pro,3,matched_supported_goal,Administrator,Delete Student,Administrator removes a student record from the system.,student-management-system/src/main/java/com/studentmgr/service/StudentService.java | student-management-system/src/main/java/com/studentmgr/common/service/GenericService.java,Delete student,1.0,0.25
Asitha123__Java-Spring-boot-Student-Management-System,random_code_same_budget,deepseek-v4-pro,4,code_context_overgeneralization,Administrator,Schedule a Meeting,"Administrator schedules a meeting with a title, date, and assigned room.",student-management-system/src/main/java/com/studentmgr/model/Meeting.java | student-management-system/src/main/java/com/studentmgr/model/Room.java | student-management-system/src/main/java/com/studentmgr/service/Meeti...,Delete student,0.0667,
